Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-8.47881800,-7.94957900
-0.24999998,-9.80039000,-2.43315800
0.00000000,-10.06287000,-0.12635820
0.24999998,-9.52814000,0.50299110
0.49999997,-8.67842800,0.80698320
0.74999995,-7.57660800,1.20559100
0.99999993,-6.41252600,1.95031100
1.24999991,-5.31131700,3.36588900
1.49999990,-4.31449100,5.74655100
1.74999988,-3.44402400,8.76693900
1.99999986,-2.60468800,11.92345000
2.24999984,-1.68172400,14.92248000
2.49999983,-0.69588570,17.39775000
2.74999981,0.38456840,19.00195000
2.99999979,1.70614100,19.13808000
3.24999978,3.15346100,18.37260000
3.49999976,4.23391500,18.21572000
3.74999974,5.26187300,17.38677000
3.99999972,6.24832100,15.63545000
4.24999971,7.34953000,12.17495000
4.49999969,8.83896900,6.60664100
4.74999967,9.89805900,1.57245800
4.99999966,9.94017800,-0.12635820
5.24999964,9.35294800,-0.57685260
5.49999962,8.40861900,-0.87046750
5.74999960,7.31778800,-1.27945300
5.99999959,6.17445900,-2.09742400
6.24999957,5.09400600,-3.72298900
6.49999955,4.17104100,-6.25076300
6.74999953,3.29019600,-9.32303700
6.99999952,2.41972900,-12.42705000
7.24999950,1.51751900,-15.31132000
7.49999948,0.53107070,-17.67061000
7.74999947,-0.59089240,-19.08680000
7.99999945,-1.96496200,-18.93969000
8.24999943,-3.34940800,-18.28959000
8.49999941,-4.37736500,-18.16384000
8.74999940,-5.37419100,-17.24087000
8.99999938,-6.37040700,-15.30094000
9.24999936,-7.58759600,-11.44183000
9.49999935,-9.06604800,-5.63179100
9.74999933,-10.06287000,-1.08045400
9.99999931,-9.93712600,0.26187280
10.24999929,-9.23391500,0.59760710
10.49999928,-8.30057300,0.93273100
10.74999926,-7.13649100,1.41557800
10.99999924,-6.00354100,2.35929700
11.24999922,-4.90233200,4.08985500
11.49999921,-3.97875700,6.78488600
11.74999919,-3.12965400,9.93102200
11.99999917,-2.23782200,13.06617000
12.24999916,-1.32523500,15.87718000
12.49999914,-0.29727750,18.10035000
12.74999912,0.82529600,19.23269000
12.99999910,2.24087400,18.83409000
13.24999909,3.58381200,18.28897000
13.49999907,4.58002700,18.05824000
13.74999905,5.60798400,16.95703000
13.99999904,6.61518700,14.60811000
14.24999902,7.90562800,10.35038000
14.49999900,9.29007400,4.42497900
14.74999898,10.05555000,0.66048100
14.99999897,9.80405300,-0.32535710
15.24999895,9.03796900,-0.67146870
15.49999893,8.01001100,-0.98583810
15.74999891,6.89842500,-1.54193600
15.99999890,5.74472000,-2.59064800
16.24999888,4.72713900,-4.53058200
16.49999886,3.83530700,-7.29947500
16.74999885,2.95446200,-10.39311000
16.99999883,2.07300700,-13.47577000
17.24999881,1.16103000,-16.19216000
17.49999879,0.12208520,-18.26883000
17.74999878,-1.04199700,-19.21255000
17.99999876,-2.50030500,-18.60396000
18.24999874,-3.76938100,-18.17422000
18.49999873,-4.73446500,-17.81773000
18.74999871,-5.70992600,-16.62190000
18.99999869,-6.76901500,-14.03186000
19.24999867,-8.06983300,-9.56415600
19.49999866,-9.49639800,-3.60761800
19.74999864,-10.07325000,-0.46148210
19.99999862,-9.71676300,0.38762060
20.24999860,-8.88780400,0.71297760
20.49999859,-7.89158800,1.06946600
20.74999857,-6.70614100,1.66707400
20.99999855,-5.58417700,2.86289800
21.24999854,-4.55622000,5.01220800
21.49999852,-3.67476500,7.89647200
21.74999850,-2.78354300,11.04261000
21.99999848,-1.89171000,14.15700000
22.24999847,-0.95836890,16.78916000
22.49999845,0.06958857,18.68758000
22.74999843,1.32828700,19.27481000
22.99999841,2.78659500,18.51972000
23.24999840,3.97204200,18.21572000
23.49999838,4.96825800,17.62849000
23.74999836,5.96508400,16.20193000
23.99999835,7.00341800,13.34941000
24.24999833,8.39824200,8.25296000
24.49999831,9.74117900,2.59003800
24.74999829,10.02442000,0.12574780
24.99999828,9.55194700,-0.46148210
25.24999826,8.70284500,-0.76608470
25.49999824,7.63276800,-1.13295100
25.74999823,6.43694300,-1.80380900
25.99999821,5.37724300,-3.17787800
26.24999819,4.39140500,-5.45354700
26.49999817,3.53131500,-8.38969600
26.74999816,2.63948200,-11.56757000
26.99999814,1.76901500,-14.54584000
27.24999812,0.78317670,-17.09376000
27.49999810,-0.26553540,-18.81394000
27.74999809,-1.56635300,-19.18081000
27.99999807,-2.98254200,-18.37321000
28.24999805,-4.12587000,-18.19497000
28.49999804,-5.12208500,-17.46124000
28.74999802,-6.12928800,-15.84605000
28.99999800,-7.25186200,-12.76279000
29.24999798,-8.68880500,-7.30985200
