Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.70125700,-1.66341100
-0.24999998,-6.86210400,-0.94677080
0.00000000,-6.90910800,-0.41722620
0.24999998,-6.89873000,-0.03815163
0.49999997,-6.82059600,0.28903680
0.74999995,-6.64906600,0.45507260
0.99999993,-6.45159300,0.60065930
1.24999991,-6.19185700,0.77707240
1.49999990,-5.90098900,0.95379070
1.74999988,-5.64125300,1.17171300
1.99999986,-5.35007900,1.48852400
2.24999984,-4.99694800,1.87278700
2.49999983,-4.69020900,2.30893700
2.74999981,-4.35783100,2.85404700
2.99999979,-4.04590400,3.43059400
3.24999978,-3.69765600,4.03796900
3.49999976,-3.34971300,4.69753400
3.74999974,-2.98589900,5.36717100
3.99999972,-2.60133100,6.04230300
4.24999971,-2.23263300,6.70705700
4.49999969,-1.79617900,7.26254400
4.74999967,-1.41161000,7.77652300
4.99999966,-0.93364670,8.17116400
5.24999964,-0.42424610,8.39976800
5.49999962,0.11598100,8.38939100
5.74999960,0.67726770,8.12446600
5.99999959,1.31119500,7.68831600
6.24999957,1.91399100,7.35593900
6.49999955,2.41270900,7.19509200
6.74999953,2.84916400,7.11207400
6.99999952,3.27005200,7.09132000
7.24999950,3.66499800,7.01837300
7.49999948,4.04437800,6.88347000
7.74999947,4.40300300,6.69667900
7.99999945,4.78207800,6.34354800
8.24999943,5.11994900,5.93334200
8.49999941,5.47857400,5.35160500
8.74999940,5.81095100,4.56751300
8.99999938,6.14363300,3.75228900
9.24999936,6.41374700,2.82810400
9.49999935,6.66310600,1.96618200
9.74999933,6.81906900,1.19765600
9.99999931,6.92284200,0.57471620
10.24999929,6.94909000,0.13337810
10.49999928,6.86576700,-0.19899890
10.74999926,6.71499200,-0.39647170
10.99999924,6.54376700,-0.56250760
11.24999922,6.31516300,-0.71328290
11.49999921,6.03436700,-0.88969600
11.74999919,5.72793300,-1.09724100
11.99999917,5.42119400,-1.38810900
12.24999916,5.12513700,-1.75161800
12.49999914,4.78207800,-2.19814400
12.74999912,4.48083300,-2.68099100
12.99999910,4.14815000,-3.22121800
13.24999909,3.78464200,-3.84415800
13.49999907,3.44677100,-4.49853500
13.74999905,3.09852300,-5.14741800
13.99999904,2.71426000,-5.81217200
14.24999902,2.36082300,-6.45617200
14.49999900,1.92955700,-7.08430000
14.74999898,1.52942300,-7.59827900
14.99999897,1.07221300,-8.01367400
15.24999895,0.57868390,-8.28378700
15.49999893,0.06928336,-8.34605000
15.74999891,-0.50207540,-8.19039200
15.99999890,-1.10487100,-7.72829900
16.24999888,-1.73361000,-7.34922500
16.49999886,-2.23263300,-7.16212900
16.74999885,-2.70022000,-7.08430000
16.99999883,-3.10554300,-7.02203600
17.24999881,-3.53162000,-6.95977300
17.49999879,-3.91618800,-6.87675500
17.74999878,-4.26932000,-6.72079100
17.99999876,-4.63313400,-6.44060600
18.24999874,-4.99175900,-6.06672000
18.49999873,-5.29819300,-5.54205800
18.74999871,-5.63087500,-4.86723200
18.99999869,-5.95287500,-4.06238600
19.24999867,-6.26480300,-3.23678400
19.49999866,-6.52972700,-2.33854200
19.74999864,-6.73238900,-1.51294100
19.99999862,-6.89354200,-0.82743250
20.24999860,-6.93505000,-0.30307650
20.49999859,-6.88285900,0.08637529
20.74999857,-6.79465200,0.31497990
20.99999855,-6.60755700,0.50695880
21.24999854,-6.39970700,0.66811130
21.49999852,-6.13997100,0.81858130
21.74999850,-5.86985700,1.00048800
21.99999848,-5.54755200,1.26510800
22.24999847,-5.23074100,1.57154200
22.49999845,-4.93437900,1.98693700
22.74999843,-4.59681400,2.41789800
22.99999841,-4.28488600,2.97857400
23.24999840,-3.95250900,3.55512100
23.49999838,-3.57312900,4.19881600
23.74999836,-3.26120100,4.86357000
23.99999835,-2.89250400,5.54907800
24.24999833,-2.53387900,6.19277200
24.49999831,-2.12336700,6.82120600
24.74999829,-1.69210100,7.40263700
24.99999828,-1.27640100,7.84916400
25.24999826,-0.81919180,8.22304900
25.49999824,-0.31009640,8.41533400
25.74999823,0.24081310,8.32193900
25.99999821,0.86955200,8.01550500
26.24999819,1.45678200,7.60011000
26.49999817,2.03851800,7.29367600
26.74999816,2.50640900,7.16914900
26.99999814,2.97399600,7.11207400
27.24999812,3.35856400,7.07544900
27.49999810,3.76388700,7.00280800
27.74999809,4.16890500,6.85233800
27.99999807,4.51715300,6.61854500
28.24999805,4.84983500,6.26571800
28.49999804,5.21334400,5.79813200
28.74999802,5.54602600,5.12849500
28.99999800,5.86283700,4.38591100
29.24999798,6.18514200,3.53955600
