Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.70644600,-1.68935400
-0.24999998,-6.85172700,-0.96752530
0.00000000,-6.91948500,-0.42760350
0.24999998,-6.91948500,-0.01220852
0.49999997,-6.81540700,0.29422540
0.74999995,-6.66463200,0.48620440
0.99999993,-6.44640400,0.61622510
1.24999991,-6.18666800,0.76669510
1.49999990,-5.94768600,0.95897940
1.74999988,-5.63087500,1.19246700
1.99999986,-5.32413600,1.48333500
2.24999984,-4.98657000,1.90391900
2.49999983,-4.67983200,2.33488000
2.74999981,-4.35783100,2.86442400
2.99999979,-4.05109300,3.45134900
3.24999978,-3.67690100,4.06910000
3.49999976,-3.32895900,4.71309900
3.74999974,-3.00146500,5.40868000
3.99999972,-2.58057600,6.02673700
4.24999971,-2.21706700,6.69149100
4.49999969,-1.80136700,7.29367600
4.74999967,-1.39085600,7.81803200
4.99999966,-0.90220980,8.21267200
5.24999964,-0.39311440,8.44127700
5.49999962,0.11079230,8.39976800
5.74999960,0.73434260,8.10371100
5.99999959,1.33195000,7.63643000
6.24999957,1.90880200,7.31443000
6.49999955,2.42827500,7.17433700
6.74999953,2.84397500,7.11726300
6.99999952,3.28561800,7.03912800
7.24999950,3.68575300,7.00280800
7.49999948,4.07551000,6.88865800
7.74999947,4.40300300,6.66524200
7.99999945,4.81870300,6.34354800
8.24999943,5.10438300,5.87626600
8.49999941,5.44713700,5.28934200
8.74999940,5.83170600,4.58826700
8.99999938,6.11769000,3.73153400
9.24999936,6.39299200,2.84885800
9.49999935,6.66829400,1.96099400
9.74999933,6.85020100,1.18727900
9.99999931,6.93321900,0.55915030
10.24999929,6.95427900,0.11231840
10.49999928,6.88133300,-0.19899890
10.74999926,6.73605200,-0.38609450
10.99999924,6.52820200,-0.55213040
11.24999922,6.32554000,-0.73922600
11.49999921,6.00842400,-0.89488460
11.74999919,5.73312200,-1.09724100
11.99999917,5.41600500,-1.37773200
12.24999916,5.11476000,-1.75161800
12.49999914,4.79764400,-2.18257800
12.74999912,4.44451200,-2.68618000
12.99999910,4.10145300,-3.27310500
13.24999909,3.80020700,-3.84934700
13.49999907,3.42601600,-4.50372400
13.74999905,3.08814500,-5.13185200
13.99999904,2.70388200,-5.81736000
14.24999902,2.32969100,-6.49249200
14.49999900,1.94512300,-7.08948900
14.74999898,1.52423400,-7.59827900
14.99999897,1.04627000,-8.03961700
15.24999895,0.59424980,-8.27859900
15.49999893,0.07447198,-8.32010700
15.74999891,-0.50756930,-8.12812800
15.99999890,-1.09968300,-7.71273300
16.24999888,-1.72323300,-7.33884800
16.49999886,-2.22744500,-7.15694000
16.74999885,-2.68465400,-7.04797900
16.99999883,-3.13667400,-6.99609300
17.24999881,-3.53680900,-6.99090400
17.49999879,-3.90031700,-6.86637800
17.74999878,-4.27969700,-6.71041400
17.99999876,-4.61756800,-6.44060600
18.24999874,-4.97619300,-6.03558800
18.49999873,-5.33451300,-5.52130400
18.74999871,-5.67757300,-4.85685500
18.99999869,-5.97362900,-4.09870600
19.24999867,-6.30112300,-3.24197300
19.49999866,-6.52972700,-2.31748200
19.74999864,-6.72720100,-1.51813000
19.99999862,-6.88285900,-0.84299840
20.24999860,-6.94023900,-0.30826510
20.49999859,-6.90391900,0.08118667
20.74999857,-6.77389800,0.34611160
20.99999855,-6.61793400,0.50177030
21.24999854,-6.35300900,0.65254550
21.49999852,-6.14515900,0.81858130
21.74999850,-5.85429100,1.01086600
21.99999848,-5.56311800,1.25473100
22.24999847,-5.25149500,1.58191900
22.49999845,-4.91881300,1.94542800
22.74999843,-4.60200200,2.44902900
22.99999841,-4.26932000,3.00482200
23.24999840,-3.91618800,3.57068700
23.49999838,-3.59907200,4.24581900
23.74999836,-3.26120100,4.88951300
23.99999835,-2.90807000,5.54907800
24.24999833,-2.49755800,6.23428200
24.49999831,-2.13374400,6.85233800
24.74999829,-1.70766700,7.46490000
24.99999828,-1.25564600,7.95843000
25.24999826,-0.77249420,8.30087900
25.49999824,-0.28384810,8.42571100
25.74999823,0.24081310,8.34269300
25.99999821,0.85917470,7.98437300
26.24999819,1.47234800,7.55860100
26.49999817,2.02814100,7.25735600
26.74999816,2.53754100,7.14839500
26.99999814,2.97918400,7.10688500
27.24999812,3.41045000,7.06507100
27.49999810,3.78464200,6.98205300
27.74999809,4.14296200,6.82120600
27.99999807,4.50158700,6.59779000
28.24999805,4.88615600,6.26022400
28.49999804,5.21853300,5.77218900
28.74999802,5.54083700,5.15443800
28.99999800,5.86802600,4.39110000
29.24999798,6.22146200,3.51880100
