Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.70644600,-1.64265700
-0.24999998,-6.86210400,-0.93120500
0.00000000,-6.93505000,-0.38609450
0.24999998,-6.89873000,0.00335734
0.49999997,-6.82059600,0.29422540
0.74999995,-6.63350000,0.46026130
0.99999993,-6.41008400,0.61103650
1.24999991,-6.18666800,0.78744960
1.49999990,-5.90617800,0.96935660
1.74999988,-5.61530900,1.23397600
1.99999986,-5.28262700,1.54041000
2.24999984,-4.97069900,1.89354200
2.49999983,-4.66945400,2.35563400
2.74999981,-4.33158300,2.90593300
2.99999979,-4.00439500,3.49804700
3.24999978,-3.65614700,4.10023200
3.49999976,-3.31858100,4.74942000
3.74999974,-2.97552200,5.41386900
3.99999972,-2.57538700,6.08900000
4.24999971,-2.18563100,6.75375400
4.49999969,-1.75955300,7.32999600
4.74999967,-1.33347600,7.83359800
4.99999966,-0.88664390,8.21786100
5.24999964,-0.38792580,8.43090000
5.49999962,0.17854960,8.35825900
5.74999960,0.71358810,8.07776800
5.99999959,1.37864700,7.60011000
6.24999957,1.95031100,7.32999600
6.49999955,2.46459500,7.16914900
6.74999953,2.90135500,7.11207400
6.99999952,3.32193900,7.07026000
7.24999950,3.71169600,7.01318500
7.49999948,4.09107500,6.86790400
7.74999947,4.44451200,6.63929900
7.99999945,4.78726600,6.29685000
8.24999943,5.15108100,5.84483000
8.49999941,5.50451700,5.27377600
8.74999940,5.83689400,4.53638100
8.99999938,6.13844400,3.70559100
9.24999936,6.44487900,2.77102900
9.49999935,6.67867200,1.94023900
9.74999933,6.84501300,1.12501500
9.99999931,6.94390200,0.54358440
10.24999929,6.93840800,0.09156391
10.49999928,6.86057900,-0.17824440
10.74999926,6.72018100,-0.40166040
10.99999924,6.53339000,-0.56250760
11.24999922,6.28372600,-0.71847150
11.49999921,6.01361200,-0.91045050
11.74999919,5.70717900,-1.14424400
11.99999917,5.40043900,-1.42442900
12.24999916,5.07844000,-1.76199500
12.49999914,4.77170000,-2.21371000
12.74999912,4.43932300,-2.72768900
12.99999910,4.11701900,-3.30942500
13.24999909,3.77945300,-3.90642200
13.49999907,3.41045000,-4.55042100
13.74999905,3.07776800,-5.19960900
13.99999904,2.69869400,-5.86405800
14.24999902,2.32969100,-6.52362300
14.49999900,1.90361400,-7.14137500
14.74999898,1.47234800,-7.63978800
14.99999897,1.03589300,-8.07105400
15.24999895,0.55762420,-8.32529600
15.49999893,0.02258576,-8.31491900
15.74999891,-0.54388960,-8.11775100
15.99999890,-1.15187400,-7.66603600
16.24999888,-1.74398700,-7.30252700
16.49999886,-2.24819900,-7.15175200
16.74999885,-2.71578600,-7.03760200
16.99999883,-3.15742900,-7.00128200
17.24999881,-3.56275200,-6.94939600
17.49999879,-3.92656600,-6.84562300
17.74999878,-4.25375400,-6.66371600
17.99999876,-4.61238000,-6.35728200
18.24999874,-4.99175900,-6.02521000
18.49999873,-5.34489100,-5.49017200
18.74999871,-5.64125300,-4.82572300
18.99999869,-6.00476100,-4.04682000
19.24999867,-6.30112300,-3.16414400
19.49999866,-6.54010500,-2.30710500
19.74999864,-6.73238900,-1.49188100
19.99999862,-6.89873000,-0.82224390
20.24999860,-6.94542800,-0.24569650
20.49999859,-6.89354200,0.08118667
20.74999857,-6.77908700,0.33573430
20.99999855,-6.60755700,0.50177030
21.24999854,-6.36338700,0.66292270
21.49999852,-6.11921600,0.83933590
21.74999850,-5.85429100,1.04199700
21.99999848,-5.54236400,1.30142800
22.24999847,-5.23592900,1.58191900
22.49999845,-4.91881300,1.99731400
22.74999843,-4.57605900,2.48535000
22.99999841,-4.26932000,3.04633100
23.24999840,-3.93694300,3.61219600
23.49999838,-3.55237500,4.25100700
23.74999836,-3.19893800,4.91026700
23.99999835,-2.89250400,5.55426700
24.24999833,-2.49237000,6.26571800
24.49999831,-2.09742400,6.89384700
24.74999829,-1.69210100,7.45971200
24.99999828,-1.24008100,7.92729800
25.24999826,-0.77768280,8.24899300
25.49999824,-0.26828230,8.43090000
25.74999823,0.29269930,8.31156200
25.99999821,0.87992920,7.96880700
26.24999819,1.50866800,7.56378900
26.49999817,2.08033200,7.25216700
26.74999816,2.54791800,7.14320600
26.99999814,2.99993900,7.06507100
27.24999812,3.41045000,7.04431700
27.49999810,3.78983000,6.97167600
27.74999809,4.19515300,6.81082900
27.99999807,4.50677600,6.56665800
28.24999805,4.89653300,6.22909300
28.49999804,5.26034600,5.75143400
28.74999802,5.57715800,5.08179700
28.99999800,5.89427400,4.35478000
29.24999798,6.23702800,3.49285800
