Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.56085900,-2.18257800
-0.24999998,-6.77908700,-1.42961800
0.00000000,-6.89873000,-0.73403730
0.24999998,-6.94023900,-0.23531930
0.49999997,-6.88804800,0.13337810
0.74999995,-6.77389800,0.35130020
0.99999993,-6.58161400,0.52252470
1.24999991,-6.36338700,0.68367720
1.49999990,-6.11921600,0.84452440
1.74999988,-5.81247700,1.04199700
1.99999986,-5.53717500,1.29105100
2.24999984,-5.19960900,1.62861700
2.49999983,-4.84617200,2.04401200
2.74999981,-4.55530500,2.52685900
2.99999979,-4.22781100,3.09302900
3.24999978,-3.90031700,3.69521400
3.49999976,-3.55237500,4.30808200
3.74999974,-3.18856000,4.96215300
3.99999972,-2.80918100,5.63209600
4.24999971,-2.44567200,6.27609500
4.49999969,-2.05591500,6.95092200
4.74999967,-1.65578100,7.49633700
4.99999966,-1.18300600,7.95324100
5.24999964,-0.73098520,8.30087900
5.49999962,-0.20601880,8.45165400
5.74999960,0.36564520,8.31675000
5.99999959,0.93700400,7.93248700
6.24999957,1.59168600,7.51709200
6.49999955,2.12703000,7.24179000
6.74999953,2.60499300,7.14839500
6.99999952,3.02069300,7.09132000
7.24999950,3.43639300,7.04950500
7.49999948,3.84171700,6.96648700
7.74999947,4.21590800,6.79526300
7.99999945,4.54828500,6.56665800
8.24999943,4.91209800,6.16683000
8.49999941,5.23409800,5.67360500
8.74999940,5.61347800,5.02441700
8.99999938,5.92021700,4.24581900
9.24999936,6.24221700,3.43578300
9.49999935,6.50714200,2.50610400
9.74999933,6.75161700,1.65974800
9.99999931,6.90208800,0.95897940
10.24999929,6.95427900,0.39799780
10.49999928,6.92803000,-0.02777439
10.74999926,6.81906900,-0.29788790
10.99999924,6.68386000,-0.47430100
11.24999922,6.45006700,-0.63514830
11.49999921,6.20070800,-0.79630080
11.74999919,5.91502900,-0.97790250
11.99999917,5.63942100,-1.22207300
12.24999916,5.32261000,-1.52331800
12.49999914,5.00030500,-1.90727600
12.74999912,4.67311700,-2.36967400
12.99999910,4.33005700,-2.89921900
13.24999909,4.00805800,-3.51178100
13.49999907,3.66499800,-4.10908300
13.74999905,3.31675000,-4.76315500
13.99999904,2.94805300,-5.41753100
14.24999902,2.58423900,-6.07709700
14.49999900,2.18929300,-6.71560200
14.74999898,1.76840400,-7.31809300
14.99999897,1.34751600,-7.80612900
15.24999895,0.86955200,-8.18001500
15.49999893,0.39677690,-8.37199300
15.74999891,-0.13856670,-8.33567300
15.99999890,-0.74136250,-8.04999400
16.24999888,-1.35972400,-7.60346700
16.49999886,-1.90514000,-7.25064100
16.74999885,-2.43010600,-7.09986500
16.99999883,-2.86137200,-7.03760200
17.24999881,-3.30820400,-7.00128200
17.49999879,-3.69765600,-6.93901800
17.74999878,-4.05628100,-6.81418600
17.99999876,-4.39934100,-6.60145300
18.24999874,-4.76834300,-6.27426400
18.49999873,-5.10590900,-5.81217200
18.74999871,-5.41264800,-5.26706100
18.99999869,-5.76577900,-4.55561000
19.24999867,-6.08808400,-3.76114000
19.49999866,-6.40489500,-2.89921900
19.74999864,-6.62312300,-2.02173100
19.99999862,-6.82059600,-1.23245000
20.24999860,-6.92986200,-0.64552560
20.49999859,-6.93505000,-0.14711270
20.74999857,-6.85691600,0.18526430
20.99999855,-6.73238900,0.40318640
21.24999854,-6.52972700,0.54877310
21.49999852,-6.31150100,0.73037480
21.74999850,-6.03589300,0.87046750
21.99999848,-5.74502500,1.12501500
22.24999847,-5.49566600,1.38994000
22.49999845,-5.13185200,1.71682300
22.74999843,-4.80466400,2.14778400
22.99999841,-4.45641600,2.67244500
23.24999840,-4.16554700,3.24349900
23.49999838,-3.83286500,3.82004600
23.74999836,-3.45348500,4.46374100
23.99999835,-3.10554300,5.11811700
24.24999833,-2.74172900,5.81369800
24.49999831,-2.34159400,6.46288600
24.74999829,-1.95702600,7.08063700
24.99999828,-1.52057100,7.61567500
25.24999826,-1.10487100,8.04663700
25.49999824,-0.62171890,8.36863600
25.74999823,-0.05524356,8.44127700
25.99999821,0.51092660,8.27493600
26.24999819,1.10853400,7.81284300
26.49999817,1.72170700,7.40782500
26.74999816,2.23599100,7.22622400
26.99999814,2.68831600,7.11207400
27.24999812,3.13514800,7.07544900
27.49999810,3.52978900,7.03393900
27.74999809,3.90916800,6.94054500
27.99999807,4.29892500,6.76932000
28.24999805,4.66274000,6.50958300
28.49999804,5.00549400,6.05786800
28.74999802,5.33817600,5.51275800
28.99999800,5.68123500,4.84281500
29.24999798,5.99804600,4.06910000
