Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.63868900,-1.96465600
-0.24999998,-6.84135000,-1.21688400
0.00000000,-6.91948500,-0.58845070
0.24999998,-6.92467300,-0.13154680
0.49999997,-6.85691600,0.18526430
0.74999995,-6.74276600,0.38243190
0.99999993,-6.52972700,0.56433890
1.24999991,-6.27518000,0.69405440
1.49999990,-6.02551600,0.91716520
1.74999988,-5.76059100,1.12501500
1.99999986,-5.43340300,1.41588300
2.24999984,-5.11109700,1.75833200
2.49999983,-4.81504100,2.15816100
2.74999981,-4.47717000,2.67244500
2.99999979,-4.10816800,3.21236700
3.24999978,-3.81211100,3.82004600
3.49999976,-3.46905100,4.49487300
3.74999974,-3.11073100,5.15443800
3.99999972,-2.72097400,5.81369800
4.24999971,-2.35716000,6.51477200
4.49999969,-1.93627100,7.09650800
4.74999967,-1.53613700,7.64680700
4.99999966,-1.05298500,8.08295600
5.24999964,-0.59577580,8.33231500
5.49999962,-0.08149188,8.42571100
5.74999960,0.49017210,8.22304900
5.99999959,1.10334500,7.82840900
6.24999957,1.72689500,7.39744900
6.49999955,2.24636800,7.22103500
6.74999953,2.74539100,7.14320600
6.99999952,3.16628000,7.08063700
7.24999950,3.55603700,7.03393900
7.49999948,3.92992300,6.93535600
7.74999947,4.29373700,6.73818800
7.99999945,4.68349400,6.47326300
8.24999943,5.01068300,6.04749100
8.49999941,5.35374200,5.50756900
8.74999940,5.68642400,4.84281500
8.99999938,6.00323500,4.03278000
9.24999936,6.32554000,3.13453800
9.49999935,6.58527700,2.24667300
9.74999933,6.80869200,1.46777000
9.99999931,6.93840800,0.77707240
10.24999929,6.99059900,0.27347090
10.49999928,6.94390200,-0.09003785
10.74999926,6.80350400,-0.33939690
10.99999924,6.62678500,-0.51062140
11.24999922,6.40855800,-0.66109140
11.49999921,6.12806700,-0.81705530
11.74999919,5.86283700,-1.02460000
11.99999917,5.54602600,-1.28952500
12.24999916,5.24478100,-1.61671300
12.49999914,4.91728700,-2.02173100
12.74999912,4.56385000,-2.50457800
12.99999910,4.23666200,-3.07044300
13.24999909,3.92473400,-3.64180200
13.49999907,3.57160300,-4.29587400
13.74999905,3.19741200,-4.91911800
13.99999904,2.82840900,-5.62019300
14.24999902,2.45940700,-6.24832100
14.49999900,2.06995500,-6.89751000
14.74999898,1.68019800,-7.44262000
14.99999897,1.20742300,-7.89433500
15.24999895,0.74990840,-8.24746700
15.49999893,0.25637890,-8.37199300
15.74999891,-0.30490780,-8.28378700
15.99999890,-0.89183250,-7.95141000
16.24999888,-1.49462800,-7.47894000
16.49999886,-2.06110400,-7.20882700
16.74999885,-2.52869000,-7.08948900
16.99999883,-3.00146500,-7.04797900
17.24999881,-3.39122200,-6.99609300
17.49999879,-3.78616800,-6.91307500
17.74999878,-4.13960500,-6.77267700
17.99999876,-4.49792400,-6.53918900
18.24999874,-4.86692700,-6.18086900
18.49999873,-5.23074100,-5.72396500
18.74999871,-5.54236400,-5.07996600
18.99999869,-5.86985700,-4.34257100
19.24999867,-6.17110300,-3.50140400
19.49999866,-6.45159300,-2.58759600
19.74999864,-6.70644600,-1.78274900
19.99999862,-6.86729300,-1.05573200
20.24999860,-6.92986200,-0.46392380
20.49999859,-6.93505000,-0.03296301
20.74999857,-6.82578400,0.24752780
20.99999855,-6.69606900,0.43950680
21.24999854,-6.49340700,0.59547060
21.49999852,-6.23336600,0.75631790
21.74999850,-5.96325200,0.94860210
21.99999848,-5.68795000,1.18209000
22.24999847,-5.37602200,1.46777000
22.49999845,-5.05921100,1.83646700
22.74999843,-4.73171800,2.29855900
22.99999841,-4.37858600,2.80216100
23.24999840,-4.07184700,3.38878000
23.49999838,-3.70833800,3.96532800
23.74999836,-3.36527900,4.64045900
23.99999835,-3.01703100,5.30490800
24.24999833,-2.65352200,5.93334200
24.49999831,-2.25338800,6.61854500
24.74999829,-1.85325400,7.23141200
24.99999828,-1.42198800,7.75576800
25.24999826,-0.96996700,8.16597500
25.49999824,-0.47613230,8.39457900
25.74999823,0.05890612,8.39976800
25.99999821,0.66689050,8.16597500
26.24999819,1.25930900,7.70388200
26.49999817,1.87767100,7.36112800
26.74999816,2.38157700,7.18471500
26.99999814,2.83359800,7.12245100
27.24999812,3.25967500,7.07544900
27.49999810,3.65981000,7.00280800
27.74999809,4.04956700,6.89384700
27.99999807,4.39262600,6.70186800
28.24999805,4.74056900,6.37986800
28.49999804,5.09919400,5.95409600
28.74999802,5.42638300,5.38792600
28.99999800,5.77463100,4.63008200
29.24999798,6.09144200,3.83561200
