Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.32706600,-2.53052100
-0.24999998,-6.47784100,-1.51294100
0.00000000,-6.52453900,-0.62477110
0.24999998,-6.47784100,0.01373459
0.49999997,-6.32706600,0.43431820
0.74999995,-6.09327300,0.80301550
0.99999993,-5.76577900,1.11463800
1.24999991,-5.40745900,1.52484400
1.49999990,-5.04364500,1.95580500
1.74999988,-4.65907700,2.53723600
1.99999986,-4.29526300,3.24868800
2.24999984,-3.90550600,4.05872300
2.49999983,-3.48461700,4.89470100
2.74999981,-3.05335100,5.82926400
2.99999979,-2.62727400,6.67592500
3.24999978,-2.19600800,7.51709200
3.49999976,-1.70766700,8.29050200
3.74999974,-1.21932600,8.93450100
3.99999972,-0.67879380,9.39659400
4.24999971,-0.12300090,9.60444400
4.49999969,0.55243560,9.47442300
4.74999967,1.28006400,8.98638700
4.99999966,1.93474500,8.55023800
5.24999964,2.51678700,8.33750400
5.49999962,3.01550500,8.18672900
5.74999960,3.49865700,8.07257900
5.99999959,3.92473400,7.85435200
6.24999957,4.32486900,7.56897800
6.49999955,4.69906000,7.10169700
6.74999953,5.07325100,6.49401800
6.99999952,5.45781900,5.67879400
7.24999950,5.77981900,4.73385400
7.49999948,6.06549900,3.61738500
7.74999947,6.34629400,2.52167000
7.99999945,6.46044400,1.51446700
8.24999943,6.54376700,0.67330000
8.49999941,6.48638700,0.00854597
8.74999940,6.28891500,-0.45354660
8.99999938,6.04474400,-0.79111220
9.24999936,5.75387600,-1.12348900
9.49999935,5.41081700,-1.49188100
9.74999933,5.04730800,-1.93352500
9.99999931,4.65755100,-2.54089900
10.24999929,4.28854800,-3.20565200
10.49999928,3.90398000,-4.03644200
10.74999926,3.49865700,-4.88798700
10.99999924,3.08295700,-5.74990800
11.24999922,2.65687900,-6.63258500
11.49999921,2.19448200,-7.44780800
11.74999919,1.72689500,-8.19039200
11.99999917,1.22298900,-8.84446300
12.24999916,0.74990840,-9.30686100
12.49999914,0.13154680,-9.55072600
12.74999912,-0.49688680,-9.40544500
12.99999910,-1.19857200,-8.95373000
13.24999909,-1.89476300,-8.50201400
13.49999907,-2.50793600,-8.30454200
13.74999905,-2.99627600,-8.16444900
13.99999904,-3.46386300,-8.05548800
14.24999902,-3.88475200,-7.89433500
14.49999900,-4.29526300,-7.60346700
14.74999898,-4.67983200,-7.17250600
14.99999897,-5.04364500,-6.53918900
15.24999895,-5.40745900,-5.74990800
15.49999893,-5.75021400,-4.82053500
15.74999891,-6.06214100,-3.73519700
15.99999890,-6.30112300,-2.64986000
16.24999888,-6.47784100,-1.58558200
16.49999886,-6.54529300,-0.73922600
16.74999885,-6.49340700,-0.06928336
16.99999883,-6.35819800,0.41356370
17.24999881,-6.11402800,0.74594070
17.49999879,-5.75540200,1.09388400
17.74999878,-5.44377900,1.48333500
17.99999876,-5.07477700,1.86759900
18.24999874,-4.72652900,2.43865200
18.49999873,-4.35264300,3.15010400
18.74999871,-3.93175400,3.92381900
18.99999869,-3.55237500,4.80649500
19.24999867,-3.13667400,5.70473700
19.49999866,-2.69503100,6.58741300
19.74999864,-2.25857600,7.44414600
19.99999862,-1.78580100,8.21267200
20.24999860,-1.31791000,8.85667200
20.49999859,-0.76211700,9.36027300
20.74999857,-0.19564150,9.60444400
20.99999855,0.43309730,9.48998900
21.24999854,1.15004300,9.07978200
21.49999852,1.85691600,8.59174700
21.74999850,2.45421800,8.35307000
21.99999848,2.96880700,8.23342700
22.24999847,3.46752500,8.14003200
22.49999845,3.87284800,7.94286400
22.74999843,4.28854800,7.64680700
22.99999841,4.65236200,7.18471500
23.24999840,5.02106000,6.60816700
23.49999838,5.41600500,5.79294300
23.74999836,5.72793300,4.84800400
23.99999835,6.02399000,3.76266600
24.24999833,6.29929200,2.68801100
24.49999831,6.50714200,1.61824000
24.74999829,6.55414500,0.75112930
24.99999828,6.53339000,0.10194120
25.24999826,6.35667200,-0.38609450
25.49999824,6.10731300,-0.74441460
25.74999823,5.80576200,-1.08167500
25.99999821,5.45232600,-1.42961800
26.24999819,5.09400600,-1.86057900
26.49999817,4.71462600,-2.42156000
26.74999816,4.31449100,-3.09638600
26.99999814,3.94030000,-3.89085600
27.24999812,3.54047100,-4.76834300
27.49999810,3.14033700,-5.64613600
27.74999809,2.70388200,-6.52881200
27.99999807,2.26742800,-7.32328200
28.24999805,1.78915900,-8.07624200
28.49999804,1.30600700,-8.71474700
28.74999802,0.80728850,-9.21316100
28.99999800,0.21487000,-9.50402800
29.24999798,-0.41386890,-9.45733100
