Time,Channel B,Channel C
(ms),(V),(V)

-0.49999997,-6.34782100,-2.26559600
-0.24999998,-6.51416200,-1.27395900
0.00000000,-6.54010500,-0.51581000
0.24999998,-6.44121600,0.11231840
0.49999997,-6.25961400,0.51733610
0.74999995,-6.00995000,0.87046750
0.99999993,-5.66719600,1.23916500
1.24999991,-5.31375900,1.59748500
1.49999990,-4.95513300,2.06476600
1.74999988,-4.59162500,2.67763400
1.99999986,-4.17592500,3.37840300
2.24999984,-3.81211100,4.23025300
2.49999983,-3.40159900,5.11811700
2.74999981,-2.95476700,6.00598200
2.99999979,-2.51312400,6.89384700
3.24999978,-2.08704700,7.71426000
3.49999976,-1.59870600,8.43090000
3.74999974,-1.11524800,9.09534800
3.99999972,-0.56464410,9.47961100
4.24999971,0.04334025,9.58887800
4.49999969,0.67726770,9.36027300
4.74999967,1.42565000,8.87742600
4.99999966,2.08033200,8.49316300
5.24999964,2.65687900,8.28531300
5.49999962,3.12996000,8.20229500
5.74999960,3.57679200,8.07257900
5.99999959,3.98211500,7.85435200
6.24999957,4.41338100,7.51190300
6.49999955,4.80283200,7.01318500
6.74999953,5.18740100,6.33317000
6.99999952,5.53046000,5.48681400
7.24999950,5.85246000,4.48449500
7.49999948,6.16957600,3.41502900
7.74999947,6.39299200,2.29855900
7.99999945,6.53339000,1.27029700
8.24999943,6.53339000,0.48101570
8.49999941,6.44487900,-0.12116960
8.74999940,6.24740600,-0.54175310
8.99999938,5.98766900,-0.87413010
9.24999936,5.66536400,-1.18575300
9.49999935,5.33817600,-1.58558200
9.74999933,4.96398500,-2.07880600
9.99999931,4.57422800,-2.68618000
10.24999929,4.23147300,-3.39763100
10.49999928,3.81577300,-4.18691300
10.74999926,3.41045000,-5.05921100
10.99999924,2.97399600,-5.94707600
11.24999922,2.54791800,-6.81937500
11.49999921,2.10108700,-7.61903300
11.74999919,1.64387700,-8.36161600
11.99999917,1.14485400,-8.93297500
12.24999916,0.59943840,-9.35874700
12.49999914,-0.00335734,-9.54034900
12.74999912,-0.66322790,-9.32242700
12.99999910,-1.34385300,-8.85484000
13.24999909,-2.04034900,-8.43425700
13.49999907,-2.60651900,-8.25784400
13.74999905,-3.09516500,-8.16444900
13.99999904,-3.54199700,-8.03961700
14.24999902,-3.96807500,-7.80094000
14.49999900,-4.39415200,-7.48412900
14.74999898,-4.75766100,-7.03760200
14.99999897,-5.13185200,-6.35728200
15.24999895,-5.48528900,-5.56281300
15.49999893,-5.83872600,-4.57117600
15.74999891,-6.12959300,-3.51697000
15.99999890,-6.36338700,-2.40080600
16.24999888,-6.50897300,-1.42442900
16.49999886,-6.56085900,-0.56769620
16.74999885,-6.47784100,0.03448907
16.99999883,-6.29593500,0.49139300
17.24999881,-6.05695200,0.83933590
17.49999879,-5.72427000,1.16133600
17.74999878,-5.37602200,1.52484400
17.99999876,-5.02289100,2.02325700
18.24999874,-4.65388800,2.58942700
18.49999873,-4.26932000,3.32132800
18.74999871,-3.83805400,4.13136400
18.99999869,-3.45348500,4.98809700
19.24999867,-3.03778500,5.90221000
19.49999866,-2.62208500,6.77969700
19.74999864,-2.12336700,7.62086400
19.99999862,-1.65059200,8.35825900
20.24999860,-1.19338300,8.97082100
20.49999859,-0.64247350,9.41734800
20.74999857,-0.06562080,9.61482100
20.99999855,0.59424980,9.40178200
21.24999854,1.30600700,8.92931300
21.49999852,1.99182000,8.50872900
21.74999850,2.57386200,8.34269300
21.99999848,3.08814500,8.20748300
22.24999847,3.52460000,8.07776800
22.49999845,3.96105500,7.86472900
22.74999843,4.37156600,7.53784600
22.99999841,4.76132300,7.08613100
23.24999840,5.11476000,6.43175400
23.49999838,5.47338500,5.59577600
23.74999836,5.82132800,4.63527000
23.99999835,6.12287900,3.52917800
24.24999833,6.34629400,2.40752000
24.49999831,6.54376700,1.42107200
24.74999829,6.51233100,0.60584790
24.99999828,6.46044400,-0.04852887
25.24999826,6.29929200,-0.43798070
25.49999824,6.01880100,-0.82224390
25.74999823,5.73831000,-1.10792300
25.99999821,5.35374200,-1.51294100
26.24999819,5.02624800,-2.01135400
26.49999817,4.63160800,-2.56684200
26.74999816,4.26260500,-3.28867100
26.99999814,3.88322500,-4.07276200
27.24999812,3.46752500,-4.92430700
27.49999810,3.01550500,-5.81217200
27.74999809,2.61018200,-6.68447100
27.99999807,2.19967000,-7.49969500
28.24999805,1.70614100,-8.25265500
28.49999804,1.22298900,-8.87590000
28.74999802,0.67207910,-9.33799300
28.99999800,0.10041510,-9.50921700
29.24999798,-0.53870100,-9.38987900
