Time,Channel B,Channel C
(ms),(V),(mV)

-0.46870551,7.76980800,-62.43132000
-0.21870553,7.83237700,-28.15590000
0.03129445,7.85313100,4.02881200
0.28129444,7.79605700,32.33732000
0.53129442,7.73867700,64.00317000
0.78129440,7.61415000,87.62666000
1.03129438,7.44780800,118.25480000
1.28129437,7.23995800,154.86510000
1.53129435,6.96465600,183.41780000
1.78129433,6.66829400,212.24510000
2.03129431,6.32035200,240.27890000
2.28129430,5.92540600,266.49670000
2.53129428,5.52008300,292.19570000
2.78129426,5.05768500,316.33800000
3.03129425,4.56385000,338.14550000
3.28129423,4.04437800,356.83980000
3.53129421,3.50384600,372.16150000
3.78129419,2.92729800,384.87360000
4.03129418,2.38676600,398.37930000
4.28129416,1.76840400,413.18210000
4.53129414,1.16042000,417.85190000
4.78129412,0.58387260,431.35760000
5.03129411,-0.03967769,433.69240000
5.28129409,-0.65803930,445.10740000
5.53129407,-1.26083500,438.36220000
5.78129406,-1.83249900,419.66790000
6.03129404,-2.43529500,404.34620000
6.28129402,-2.99108800,385.39250000
6.53129400,-3.53162000,374.23690000
6.78129399,-4.09260200,358.91530000
7.03129397,-4.57087000,341.51810000
7.28129395,-5.07996600,321.80130000
7.53129394,-5.52679800,299.21560000
7.78129392,-5.91136600,277.66750000
8.03129390,-6.30631200,246.76470000
8.28129388,-6.65944300,217.69320000
8.53129387,-6.96618200,188.36220000
8.78129385,-7.21554100,159.27540000
9.03129383,-7.42339100,141.10000000
9.28129381,-7.61567500,103.20780000
9.53129380,-7.74569700,69.45123000
9.78129378,-7.81833700,32.85618000
10.03129376,-7.84946900,1.69393200
10.28129375,-7.82871400,-28.67476000
10.53129373,-7.77682800,-58.02100000
10.78129371,-7.62605300,-88.64912000
11.03129369,-7.49084300,-117.72070000
11.28129368,-7.26223900,-146.80740000
11.53129366,-7.02325700,-178.21390000
11.78129364,-6.70644600,-206.76660000
12.03129363,-6.36338700,-235.07510000
12.28129361,-5.99438400,-263.10890000
12.53129359,-5.60981600,-287.25120000
12.78129357,-5.12147500,-312.95020000
13.03129356,-4.62794500,-342.02170000
13.28129354,-4.11854500,-356.04620000
13.53129352,-3.55756300,-370.58970000
13.78129350,-3.01184200,-385.63660000
14.03129349,-2.44048300,-400.95830000
14.28129347,-1.87400800,-412.12920000
14.53129345,-1.27121200,-421.20920000
14.78129344,-0.63209620,-420.94980000
15.03129342,-0.00854597,-437.30920000
15.28129340,0.58387260,-444.05440000
15.53129338,1.19155200,-439.64410000
15.78129337,1.79434700,-423.02520000
16.03129335,2.39195500,-407.44410000
16.28129333,2.96880700,-394.73200000
16.53129332,3.50903400,-378.63200000
16.78129330,4.04437800,-363.31030000
17.03129328,4.55866200,-344.09710000
17.28129326,5.06287400,-323.34270000
17.53129325,5.53046000,-301.01630000
17.78129323,5.92021700,-275.30220000
18.03129321,6.32035200,-250.64090000
18.28129319,6.66310600,-218.71570000
18.53129318,6.95427900,-189.62880000
18.78129316,7.25033600,-159.26010000
19.03129314,7.43743100,-136.67440000
19.28129313,7.62971500,-102.93310000
19.53129311,7.74386500,-67.36052000
19.78129309,7.84275400,-33.60395000
20.03129307,7.86350900,-2.19753400
20.28129306,7.82200000,29.72775000
20.53129304,7.75424200,64.78146000
20.78129302,7.64528100,88.66438000
21.03129301,7.45818600,119.03310000
21.28129299,7.24514700,149.93590000
21.53129297,7.02173100,178.48860000
21.78129295,6.69942600,210.42910000
22.03129294,6.38261500,236.12810000
22.28129292,6.00842400,261.82700000
22.53129290,5.56159200,289.34190000
22.78129288,5.12513700,312.70600000
23.03129287,4.61085300,336.58890000
23.28129285,4.11701900,353.98610000
23.53129283,3.57160300,369.82660000
23.78129282,2.99993900,382.79820000
24.03129280,2.42827500,396.04440000
24.28129278,1.86210500,408.51240000
24.53129276,1.25930900,414.73870000
24.78129275,0.66170190,423.81880000
25.03129273,0.05890612,431.61700000
25.28129271,-0.54907820,441.99420000
25.53129269,-1.16225100,437.32450000
25.78129268,-1.75955300,420.44620000
26.03129266,-2.33121700,389.81810000
26.28129264,-2.88731500,393.96900000
26.53129263,-3.44310800,377.35010000
26.78129261,-3.97326300,360.73130000
27.03129259,-4.51867900,344.12770000
27.28129257,-5.01251400,325.43340000
27.53129256,-5.46972300,301.80990000
27.78129254,-5.85429100,275.85150000
28.03129252,-6.26999100,252.21280000
28.28129251,-6.60236800,222.10350000
28.53129249,-6.92986200,192.25370000
28.78129247,-7.15846600,162.64800000
29.03129245,-7.43376900,142.93130000
29.28129244,-7.62086400,108.39640000
29.53129242,-7.76126200,73.86155000
29.78129240,-7.82871400,39.60139000
30.03129238,-7.84946900,8.17970800
30.28129237,-7.83390300,-24.26443000
30.53129235,-7.78201700,-54.37370000
30.78129233,-7.65718500,-85.01709000
31.03129232,-7.50122100,-114.08860000
31.28129230,-7.30893700,-144.45730000
31.53129228,-7.07514300,-174.06300000
31.78129226,-6.77389800,-203.39400000
32.03129225,-6.39970700,-231.16840000
32.28129223,-6.04138700,-256.62310000
32.53129221,-5.63087500,-284.65690000
32.78129220,-5.17336100,-309.05870000
33.03129218,-4.69539700,-331.90390000
33.28129216,-4.17592500,-351.63590000
33.53129214,-3.63020400,-367.99530000
33.78129213,-3.10035400,-382.78290000
34.03129211,-2.53906700,-398.10460000
34.28129209,-1.94664900,-410.55730000
34.53129207,-1.30234400,-419.13380000
34.78129206,-0.72060800,-427.43560000
35.03129204,-0.13337810,-436.01210000
35.28129202,0.49017210,-443.27610000
35.53129201,1.12928800,-441.46010000
35.78129199,1.70614100,-426.65730000
36.03129197,2.28299400,-413.16690000
36.28129195,2.87510700,-396.80740000
36.53129194,3.43120500,-381.48570000
36.78129192,3.97692600,-364.34800000
37.03129190,4.49121000,-345.66900000
37.28129189,4.98473900,-327.49360000
37.53129187,5.44713700,-304.64840000
37.78129185,5.87840300,-279.72780000
38.03129183,6.25778300,-251.67870000
38.28129182,6.61121900,-223.64480000
38.53129180,6.93321900,-193.53560000
38.78129178,7.18807200,-164.96760000
39.03129176,7.41148800,-140.56580000
39.28129175,7.62452700,-109.15940000
39.53129173,7.73867700,-72.54913000
39.78129171,7.81681100,-37.77011000
40.03129170,7.85313100,-5.57013800
40.28129168,7.84275400,25.05799000
40.53129166,7.78537400,54.40422000
40.78129164,7.63490400,85.55121000
41.03129163,7.52044900,114.62270000
41.28129161,7.29703300,145.78500000
41.53129159,7.07880600,174.59710000
41.78129158,6.76718300,204.96580000
42.03129156,6.43450100,231.18360000
42.28129154,6.04993300,259.75160000
42.53129152,5.63942100,280.52130000
42.78129151,5.17702300,309.59280000
43.03129149,4.69906000,332.17860000
43.28129147,4.18477600,352.68890000
43.53129145,3.64424400,368.52940000
43.78129144,3.09852300,381.50100000
44.03129142,2.54791800,393.70950000
44.28129140,1.94512300,406.42160000
44.53129139,1.35270400,416.55470000
44.78129137,0.74471980,423.30000000
45.03129135,0.13154680,431.09810000
45.28129133,-0.50756930,437.84330000
45.53129132,-1.05817400,439.91880000
45.78129130,-1.67653500,422.26220000
46.03129128,-2.23263300,408.23770000
46.28129126,-2.84031200,393.45010000
46.53129125,-3.38084500,379.16610000
46.78129123,-3.91069500,364.63800000
47.03129121,-4.42009500,344.90600000
47.28129120,-4.91881300,333.99460000
47.53129118,-5.40745900,304.66360000
47.78129116,-5.82834800,283.89390000
48.03129114,-6.22298900,256.11950000
48.28129113,-6.57642500,224.43840000
48.53129111,-6.88285900,197.44230000
48.78129109,-7.14808900,168.37080000
49.03129108,-7.40263700,147.60100000
49.28129106,-7.59492100,111.50960000
49.53129104,-7.72982500,78.02770000
49.78129102,-7.82352600,43.49286000
