Time,Channel B,Channel C
(ms),(V),(mV)

-0.49435692,7.35410800,-58.79929000
-0.24435694,7.41148800,-28.41533000
0.00564304,7.43743100,0.65620800
0.25564303,7.37516800,29.98718000
0.50564301,7.35410800,59.07398000
0.75564299,7.23477000,87.88609000
1.00564298,7.07880600,116.43880000
1.25564296,6.87095600,145.52560000
1.50564294,6.61121900,172.52170000
1.75564292,6.31516300,199.77720000
2.00564291,5.99804600,225.47610000
2.25564289,5.60310100,252.47220000
2.50564287,5.23409800,274.27970000
2.75564286,4.78726600,297.38430000
3.00564284,4.34562300,318.67290000
3.25564282,3.84690500,337.62660000
3.50564280,3.33781000,352.68890000
3.75564279,2.80765500,363.32560000
4.00564277,2.25155700,369.30770000
4.25564275,1.71132900,382.53880000
4.50564273,1.13447700,393.19060000
4.75564272,0.58906110,400.45470000
5.00564270,0.02777439,406.94050000
5.25564268,-0.58021000,413.96040000
5.50564267,-1.14119100,411.88500000
5.75564265,-1.69729000,399.67650000
6.00564263,-2.27414200,387.22380000
6.25564261,-2.79361500,372.68030000
6.50564260,-3.30301500,360.21240000
6.75564258,-3.81729900,342.83050000
7.00564256,-4.33158300,321.28250000
7.25564254,-4.76834300,307.25790000
7.50564253,-5.20998700,285.19100000
7.75564251,-5.58387200,263.12410000
8.00564249,-5.99957300,237.68460000
8.25564248,-6.29074600,207.30070000
8.50564246,-6.62831200,182.63950000
8.75564244,-6.85172700,154.60570000
9.00564242,-7.05438900,125.01530000
9.25564241,-7.20516400,94.11243000
9.50564239,-7.36631700,62.44658000
9.75564237,-7.41820300,33.63448000
10.00564236,-7.47008900,5.84482900
10.25564234,-7.43376900,-22.96728000
10.50564232,-7.36112800,-53.07654000
10.75564230,-7.24148500,-83.46049000
11.00564229,-7.09589800,-113.31030000
11.25564227,-6.88285900,-141.60360000
11.50564225,-6.64387800,-170.17150000
11.75564223,-6.35819800,-197.16760000
12.00564222,-6.04657600,-223.12600000
12.25564220,-5.71389300,-248.56550000
12.50564218,-5.28781600,-271.92950000
12.75564217,-4.87211600,-295.29360000
13.00564215,-4.38377500,-317.10110000
13.25564213,-3.92656600,-337.61140000
13.50564211,-3.42235400,-350.33880000
13.75564210,-2.87693800,-367.21700000
14.00564208,-2.34678300,-369.81140000
14.25564206,-1.75436400,-387.97150000
14.50564205,-1.20376000,-396.02910000
14.75564203,-0.63728480,-399.92060000
15.00564201,-0.05524356,-412.12920000
15.25564199,0.53686970,-418.35550000
15.50564198,1.07740200,-416.02060000
15.75564196,1.68019800,-403.81210000
16.00564194,2.24636800,-389.54340000
16.25564192,2.76614600,-376.81600000
16.50564191,3.28561800,-352.41420000
16.75564189,3.84171700,-344.35660000
17.00564187,4.33524600,-326.19640000
17.25564186,4.76651200,-306.98320000
17.50564184,5.21853300,-282.32200000
17.75564182,5.61866700,-265.96260000
18.00564180,5.97210400,-232.98430000
18.25564179,6.30997400,-210.13920000
18.50564177,6.60084200,-182.10530000
18.75564175,6.85539000,-153.81210000
19.00564174,7.07361700,-123.16870000
19.25564172,7.20363800,-93.31888000
19.50564170,7.32816500,-63.46905000
19.75564168,7.38035600,-32.04737000
20.00564167,7.42705400,-5.05127500
20.25564165,7.42186500,24.79856000
20.50564163,7.36448500,57.77682000
20.75564161,7.25033600,83.73519000
21.00564160,7.09437200,113.32560000
21.25564158,6.89689900,138.24620000
21.50564156,6.65272900,168.37080000
21.75564155,6.34629400,195.62630000
22.00564153,6.05512100,227.03270000
22.25564151,5.68642400,247.02420000
22.50564149,5.27072400,271.94480000
22.75564148,4.87059000,294.53050000
23.00564146,4.37675500,315.81920000
23.25564144,3.88841400,335.55120000
23.50564143,3.41045000,349.83520000
23.75564141,2.87510700,362.28780000
24.00564139,2.33488000,373.71810000
24.25564137,1.78915900,383.57640000
24.50564136,1.22817700,391.37470000
24.75564134,0.63057010,396.56330000
25.00564132,0.05890612,405.38390000
25.25564130,-0.47613230,413.18210000
25.50564129,-1.06336200,414.73870000
25.75564127,-1.62464900,402.27080000
26.00564125,-2.16487600,387.48320000
26.25564124,-2.71578600,370.34550000
26.50564122,-3.23525800,365.67570000
26.75564120,-3.76541300,345.68430000
27.00564118,-4.24337700,327.76820000
27.25564117,-4.72134100,312.70600000
27.50564115,-5.14741800,288.30420000
27.75564113,-5.56830600,265.71840000
28.00564111,-5.95287500,241.83550000
28.25564110,-6.25961400,211.72630000
28.50564108,-6.55567100,187.58390000
28.75564106,-6.85172700,157.97830000
29.00564105,-7.05438900,129.16620000
29.25564103,-7.21554100,98.00391000
29.50564101,-7.36112800,68.67293000
29.75564099,-7.40782500,38.30423000
30.00564098,-7.42339100,11.82700000
30.25564096,-7.41820300,-19.59468000
30.50564094,-7.37150500,-48.66621000
30.75564093,-7.28299300,-85.27652000
31.00564091,-7.13252400,-109.93770000
31.25564089,-6.92467300,-137.97150000
31.50564087,-6.70125700,-165.22710000
31.75564086,-6.41527300,-197.94590000
32.00564084,-6.08808400,-218.97510000
32.25564082,-5.75021400,-242.85800000
32.50564080,-5.36564500,-270.11350000
32.75564079,-4.93437900,-292.43980000
33.00564077,-4.45122700,-314.50670000
33.25564075,-3.97845200,-334.49820000
33.50564074,-3.47424000,-351.11710000
33.75564072,-2.94957900,-365.12630000
34.00564070,-2.40904600,-368.77360000
34.25564068,-1.84287600,-388.49040000
34.50564067,-1.29196700,-395.51030000
34.75564065,-0.70473690,-403.29320000
35.00564063,-0.13337810,-410.03840000
35.25564062,0.43828590,-403.55260000
35.50564060,1.02032700,-418.61490000
35.75564058,1.59687500,-405.36870000
36.00564056,2.17372700,-391.61880000
36.25564055,2.72463700,-377.85370000
36.50564053,3.22854400,-363.56970000
36.75564051,3.74282700,-349.81990000
37.00564049,4.23666200,-330.60680000
37.25564048,4.70424800,-310.87470000
37.50564046,5.15108100,-288.80780000
37.75564044,5.56678100,-265.70320000
38.00564043,5.94097200,-239.48540000
38.25564041,6.25259400,-213.78650000
38.50564039,6.56452200,-184.95910000
38.75564037,6.83463500,-154.84980000
39.00564036,7.01135400,-127.07540000
39.25564034,7.18807200,-97.21034000
39.50564032,7.32297600,-67.10108000
39.75564031,7.40630000,-38.02954000
40.00564029,7.42186500,-7.90501700
40.25564027,7.41148800,21.42595000
40.50564025,7.37516800,52.57294000
40.75564024,7.25552400,80.36259000
41.00564022,7.10993800,109.43410000
41.25564020,6.90208800,136.94910000
41.50564018,6.68904900,165.51700000
41.75564017,6.40855800,192.51310000
42.00564015,6.08625300,217.43370000
42.25564013,5.74349900,249.61850000
42.50564012,5.35893100,268.31280000
42.75564010,4.91728700,291.41740000
43.00564008,4.43932300,313.74370000
43.25564006,3.97692600,333.21630000
43.50564005,3.49346800,348.53800000
43.75564003,2.93767500,361.25020000
44.00564001,2.41789800,367.23230000
44.25564000,1.86729300,380.98210000
44.50563998,1.32157200,393.45010000
44.75563996,0.75509700,398.63870000
45.00563994,0.16817240,403.82730000
45.25563993,-0.40868030,411.88500000
45.50563991,-0.96996700,416.81410000
45.75563989,-1.55689200,401.75190000
46.00563987,-2.09742400,390.33690000
46.25563986,-2.65352200,376.83120000
46.50563984,-3.15224000,363.32560000
46.75563982,-3.70315000,348.01910000
47.00563981,-4.18111300,329.84370000
47.25563979,-4.64870000,312.96540000
47.50563977,-5.10590900,291.41740000
47.75563975,-5.51642000,269.09110000
48.00563974,-5.85948000,246.24590000
48.25563972,-6.21780000,219.24980000
48.50563970,-6.54010500,191.21600000
48.75563968,-6.78946400,161.86970000
49.00563967,-7.01288000,131.24160000
49.25563965,-7.18441000,104.50490000
49.50563963,-7.30374800,72.82382000
49.75563962,-7.39226000,41.41741000
