Time,Channel B,Channel C
(ms),(V),(mV)

-0.27093129,7.85313100,-34.65694000
-0.02093131,7.86350900,-2.71639600
0.22906867,7.82718800,29.72775000
0.47906866,7.76462000,61.14943000
0.72906864,7.66084700,89.96154000
0.97906862,7.50488300,117.99540000
1.22906860,7.29703300,146.30380000
1.47906859,7.03729700,174.85650000
1.72906857,6.75161700,202.63090000
1.97906855,6.40855800,234.05260000
2.22906854,6.03436700,264.68070000
2.47906852,5.60310100,287.52590000
2.72906850,5.16145800,312.44660000
2.97906848,4.69906000,332.95690000
3.22906847,4.16890500,353.72660000
3.47906845,3.64943200,368.78890000
3.72906843,3.06220200,381.50100000
3.97906842,2.46978400,395.52550000
4.22906840,1.90880200,417.59240000
4.47906838,1.29044100,422.78110000
4.72906836,0.67726770,425.11590000
4.97906835,0.11079230,429.78570000
5.22906833,-0.52313510,438.10280000
5.47906831,-1.09968300,438.62160000
5.72906829,-1.69210100,425.63480000
5.97906828,-2.30527400,409.29060000
6.22906826,-2.88731500,396.30380000
6.47906824,-3.42235400,381.50100000
6.72906823,-3.98364000,367.23230000
6.97906821,-4.50830200,347.24080000
7.22906819,-4.98657000,327.76820000
7.47906817,-5.45415700,305.44190000
7.72906816,-5.90098900,282.33730000
7.97906814,-6.26480300,255.86010000
8.22906812,-6.62312300,232.49600000
8.47906810,-6.96099400,199.51770000
8.72906809,-7.23110700,167.59250000
8.97906807,-7.43376900,136.94910000
9.22906805,-7.62605300,104.50490000
9.47906804,-7.75088500,74.38041000
9.72906802,-7.84428000,40.63911000
9.97906800,-7.88060000,8.69857100
10.22906798,-7.85984600,-21.67012000
10.47906797,-7.78720500,-55.93028000
10.72906795,-7.70388200,-83.20107000
10.97906793,-7.53265800,-112.27260000
11.22906792,-7.32999600,-141.34410000
11.47906790,-7.09070900,-171.20920000
11.72906788,-6.79984100,-200.79970000
11.97906786,-6.47784100,-236.11280000
12.22906785,-6.12959300,-257.14200000
12.47906783,-5.69313900,-282.06260000
12.72906781,-5.23592900,-308.53990000
12.97906779,-4.76834300,-331.64450000
13.22906778,-4.23300000,-350.85760000
13.47906776,-3.72909300,-366.68290000
13.72906774,-3.13148600,-381.74520000
13.97906773,-2.59614200,-398.36400000
14.22906771,-1.96740300,-419.91210000
14.47906769,-1.38047900,-425.10070000
14.72906767,-0.76730560,-430.54870000
14.97906766,-0.12818950,-434.19600000
15.22906764,0.47460630,-443.01670000
15.47906762,1.07221300,-444.05440000
15.72906761,1.67500900,-429.25160000
15.97906759,2.30374800,-413.94510000
16.22906757,2.82840900,-399.92060000
16.47906755,3.43120500,-384.33950000
16.72906754,3.95586600,-367.73590000
16.97906752,4.47564400,-350.07930000
17.22906750,4.97955100,-329.56900000
17.47906748,5.46300800,-306.46440000
17.72906747,5.89427400,-285.17580000
17.97906745,6.26297100,-255.05130000
18.22906743,6.61640800,-227.79570000
18.47906742,6.94909000,-198.72420000
18.72906740,7.19845000,-167.04310000
18.97906738,7.43743100,-135.63670000
19.22906736,7.61933800,-104.74910000
19.47906735,7.72311100,-73.84629000
19.72906733,7.82200000,-38.80784000
19.97906731,7.85832000,-8.16444800
20.22906730,7.87907500,26.61457000
20.47906728,7.79605700,57.25796000
20.72906726,7.67641300,84.51348000
20.97906724,7.54639200,112.28790000
21.22906723,7.33335400,140.84050000
21.47906721,7.07880600,169.92740000
21.72906719,6.81388100,198.48000000
21.97906717,6.47601000,229.10820000
22.22906716,6.06031000,255.86010000
22.47906714,5.68642400,281.29960000
22.72906712,5.25515800,308.81450000
22.97906711,4.73019200,330.88140000
23.22906709,4.26260500,349.57570000
23.47906707,3.70131900,364.63800000
23.72906705,3.14552500,378.38780000
23.97906704,2.59461600,393.96900000
24.22906702,2.00219800,420.96510000
24.47906700,1.41527300,419.40850000
24.72906699,0.77615670,424.33760000
24.97906697,0.18373820,427.45080000
25.22906695,-0.41905750,437.58390000
25.47906693,-1.02185300,442.51310000
25.72906692,-1.65578100,425.89420000
25.97906690,-2.20638500,412.40380000
26.22906688,-2.80918100,397.86040000
26.47906686,-3.33933600,384.87360000
26.72906685,-3.88994000,367.75120000
26.97906683,-4.42009500,349.83520000
27.22906681,-4.90324700,329.32490000
27.47906680,-5.38640000,309.07400000
27.72906678,-5.82834800,286.48820000
27.97906676,-6.20223400,259.75160000
28.22906674,-6.58161400,232.75540000
28.47906673,-6.91948500,201.85260000
28.72906671,-7.17403200,172.78110000
28.97906669,-7.40263700,139.02450000
29.22906667,-7.60529900,110.99070000
29.47906666,-7.74569700,78.02770000
29.72906664,-7.84946900,45.30887000
29.97906662,-7.85465800,13.12416000
30.22906661,-7.87541200,-20.11354000
30.47906659,-7.81314800,-50.74166000
30.72906657,-7.71426000,-79.30960000
30.97906655,-7.54822300,-107.60290000
31.22906654,-7.37669400,-137.97150000
31.47906652,-7.13252400,-166.26480000
31.72906650,-6.85172700,-196.38930000
31.97906649,-6.50897300,-225.20140000
32.22906647,-6.16072500,-254.01350000
32.47906645,-5.76577900,-280.76540000
32.72906643,-5.29819300,-306.20500000
32.97906642,-4.82023000,-328.01240000
33.22906640,-4.32120600,-349.30110000
33.47906638,-3.78097900,-367.21700000
33.72906636,-3.26120100,-380.96690000
33.97906635,-2.66908800,-396.02910000
34.22906633,-2.07148100,-417.83660000
34.47906631,-1.47387400,-419.91210000
34.72906630,-0.82956900,-430.80820000
34.97906628,-0.21639600,-431.84590000
35.22906626,0.36045660,-440.68180000
35.47906624,0.99438410,-445.35160000
35.72906623,1.60206300,-431.84590000
35.97906621,2.17891600,-416.28000000
36.22906619,2.79208900,-403.29320000
36.47906618,3.33262100,-386.15550000
36.72906616,3.87803700,-369.29250000
36.97906614,4.41338100,-352.41420000
37.22906612,4.92766400,-332.68220000
37.47906611,5.41081700,-309.31810000
37.72906609,5.79538500,-285.43520000
37.97906607,6.21108500,-259.21740000
38.22906605,6.56971100,-230.90890000
38.47906604,6.91765400,-201.83740000
38.72906602,7.19326100,-171.72810000
38.97906600,7.40111100,-141.08470000
39.22906599,7.59858400,-108.64060000
39.47906597,7.75943100,-76.70003000
39.72906595,7.83237700,-44.77475000
39.97906593,7.88426300,-12.59004000
40.22906592,7.85832000,23.24197000
40.47906590,7.79605700,53.09180000
40.72906588,7.69197900,79.58430000
40.97906587,7.55676900,107.87750000
41.22906585,7.35929700,137.98680000
41.47906583,7.12550400,167.07360000
41.72906581,6.85020100,196.66400000
41.97906580,6.50714200,224.95730000
42.22906578,6.15401000,253.25050000
42.47906576,5.72793300,279.74300000
42.72906574,5.29666700,304.92310000
42.97906573,4.81321000,327.76820000
43.22906571,4.31449100,346.72200000
43.47906569,3.77426400,362.02840000
43.72906568,3.22854400,377.86900000
43.97906566,2.68831600,390.07750000
44.22906564,2.09589800,396.04440000
44.47906562,1.48791300,418.11130000
44.72906561,0.88511780,422.52160000
44.97906559,0.26156760,427.96970000
45.22906557,-0.33603950,435.24900000
45.47906556,-0.94402390,441.73480000
45.72906554,-1.54651400,428.48860000
45.97906552,-2.12855600,414.73870000
46.22906550,-2.71578600,400.19530000
46.47906549,-3.29782700,385.39250000
46.72906547,-3.84324300,369.56720000
46.97906545,-4.33158300,352.94830000
47.22906543,-4.84098400,331.65970000
47.47906542,-5.32932500,302.84760000
47.72906540,-5.75021400,290.12020000
47.97906538,-6.18147900,263.38360000
48.22906537,-6.52453900,236.90630000
48.47906535,-6.86210400,208.33840000
48.72906533,-7.17403200,178.48860000
48.97906531,-7.38707100,147.08220000
49.22906530,-7.57935500,114.10390000
49.47906528,-7.75088500,82.43803000
49.72906526,-7.80796000,51.27579000
49.97906524,-7.87541200,17.79392000
